p	0000	1000	0100	1100	0010	1010	0110	1110	0001	1001	0101	1101	0011	1011	0111	1111
5	0	2.6	5.2	7.8	11.3	14	17	19	22	24	27	29	33	35	38	41
10	0	3.6	6.7	10.3	17	20	23	27	17	20	23	27	33	37	40	43
20	0	5.3	10.3	16	24	29	34	39	24	29	34	39	47	53	58	63
30	0	6.8	13	20	31	37	44	51	31	37	44	51	61	68	74	81
40	0	8.3	17	25	37	45	54	62	37	45	54	62	74	83	91	99
50	0	9.8	20	29	44	54	64	73	44	54	64	73	88	98	107	117
60	0	11.3	23	34	50	62	73	84	50	62	73	84	101	112	124	135
70	0	13	26	39	57	70	83	96	57	70	83	96	114	127	140	153
80	0	14	29	43	64	78	93	107	64	78	93	107	128	142	157	171
90	0	16	32	48	71	87	103	119	71	87	103	119	142	158	174	190
100	0	17	35	53	78	95	113	131	78	95	113	131	156	173	191	209
