p	000	100	010	110	001	101	011	111
5	0	1.4	3.0	4.4	5.6	7	9	10
10	0	2.0	4.1	6.1	7	9	12	14
20	0	2.9	6.1	9	11	14	17	20
30	0	3.8	8	12	14	18	22	26
40	0	4.7	10	14	18	22	27	32
50	0	5.6	11	17	21	27	33	38
60	0	6.4	13	19	25	31	38	44
70	0	7	15	22	28	35	43	50
80	0	8	17	25	32	40	48	56
90	0	9	18	27	35	44	53	62
100	0	10	20	30	38	48	58	68
110	0	10.7	22	32	41	52	63	74
120	0	12	23	35	44	56	68	79
